"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCA12",2266.12882205038,0.318081565178518,0.266602759071998,1.19309179802081,0.232833423371167,0.827974268649416
"ABCA13",2567.45290600828,0.375438218454395,0.275085201851561,1.36480703406571,NA,NA
"ABCA2",2055.52230381574,-0.102894353941217,0.110959714723251,-0.927312711625565,0.353764196274219,0.866742883486336
"ABCA3",1366.0657214861,0.213148668500205,0.193502059531738,1.101531782225,0.270665279927673,0.850263515974836
"ABCA4",485.061973049363,0.732456295513498,0.261371378555884,2.80235846618106,NA,NA
"ABCA5",2473.28732483664,0.00620499778974279,0.103233976419807,0.0601061588920083,0.95207108474773,0.992582951000051
"ABCA6",2645.6992040318,-0.170784417430357,0.209746120543577,-0.81424351014337,0.415505464143112,0.885671414144326
"ABCA7",1106.79982083827,0.0743473734728944,0.104975095716284,0.708238206077307,0.478797343855401,0.902401734097167
"ABCA8",1015.27556953335,-0.50670052996864,0.208499286984323,-2.43022667989622,0.0150893822083432,0.440073605365815
"ABCA9",1365.38391202355,0.246039555480296,0.205896303394859,1.19496829920473,0.232099415992814,0.827537385499416
"ABCB1",988.264270386899,-0.0392100995356341,0.155448549332443,-0.252238439689644,0.800856767831081,0.965106542615013
"ABCB10",1062.27443608778,-0.0858895709237445,0.0562266571471383,-1.52755961818932,0.126621914361413,0.750458019532073
"ABCB11",118.163343544199,-0.441327643344674,0.354403000780967,-1.24527061670516,NA,NA
"ABCB4",438.527344122059,0.279373714744463,0.190769555378298,1.46445649669027,NA,NA
"ABCB5",27.2394936069286,0.130701261323523,0.300276547845523,0.435269628152121,NA,NA
"ABCB6",752.367479179831,0.0742821160582248,0.112975645628311,0.657505568081571,0.510855891905184,0.913498100389031
"ABCB7",2360.30385779931,0.0220570943649398,0.0485771720474441,0.454062956637269,0.649783514311791,0.941184871003357
"ABCB8",318.138597242143,-0.0225698676640243,0.0825548694084863,-0.273392324713728,0.784551652131069,0.963811947743899
"ABCB9",143.032695226679,-0.160135244797451,0.103386012163755,-1.54890629250512,0.121404248073695,0.740763129126231
"ABCC1",6419.19292931547,0.231198826316337,0.0830147776884014,2.78503216841884,0.00535224129070851,0.389065351843434
"ABCC10",1232.41068139342,0.0806606262081313,0.0663469614283295,1.2157395677459,0.224084146191734,0.820673091623896
"ABCC11",43.9535450280042,-0.42962246710325,0.219306374202012,-1.95900583677293,NA,NA
"ABCC2",933.413987177368,-0.629555827135723,0.249945208212248,-2.51877534135849,NA,NA
"ABCC3",4822.76237338675,-0.0244141015396596,0.17002066723539,-0.143594904882115,0.885820364274516,0.981683242282852
"ABCC4",2558.23716980237,0.0956080460714251,0.133543308124118,0.71593288660009,0.47403279064637,0.900181444132326
"ABCC5",5189.15319219989,0.302312889387243,0.133670275202025,2.26163138312042,0.0237201873623967,0.516099937069747
"ABCC6",109.063240188491,-0.246777354849146,0.242663680897169,-1.01695216167812,NA,NA
"ABCC8",44.9444428708399,0.599283912091451,0.299669426097721,1.99981666430004,NA,NA
"ABCC9",2537.46123558688,-0.124560963870065,0.159278462899816,-0.782032684157755,0.434195365638685,0.888960233666021
"ABCD1",585.652807008667,0.120999114823945,0.0982663199910632,1.23133861973207,0.21819624339833,0.8138199324364
"ABCD2",108.990973734103,0.00299234854701435,0.185745280252014,0.016109957372561,0.987146669712004,0.998968248295416
"ABCD3",15349.8398645151,-0.143617409944591,0.121221511989065,-1.18475184468535,0.236115577384577,0.830057944899274
"ABCD4",1138.21711988293,-0.0847963937245142,0.0594448338857386,-1.42647204444216,0.153732130777969,0.764125981112908
"ABCE1",2206.84318060667,-0.127192885458312,0.0630660327268208,-2.01682078226271,0.0437142193519193,0.580725573905123
"ABCF1",4983.8709764876,0.0354048236066292,0.0582914111096512,0.607376334397356,0.543601190212332,0.924447533055702
"ABCF2",2119.62542539302,-0.0622937259839047,0.0628413209658687,-0.991286068250198,0.321545913855625,0.859281956068522
"ABCF3",2460.31218679598,0.0402310912045499,0.0525531310701376,0.765531765383443,0.443954958572811,0.89281800568489
"ABCG1",1687.39922620314,0.14855196422075,0.112786144803643,1.31711181793982,0.187801146246995,0.791326554083836
"ABCG2",631.261528276056,0.734782839028298,0.221400632353746,3.31879286529899,NA,NA
"ABHD12",6723.07607302653,-0.0846419945099263,0.0992010979420215,-0.853236468807993,0.393528183330287,0.884132062389115
"ABHD17B",809.563765563593,-0.100762912844464,0.0883861134377743,-1.14003104023126,0.254273369510447,0.839661271001282
"ABHD2",2626.47164409365,0.0680929408795545,0.103151866657542,0.660123205580164,0.509174768135179,0.913034374470026
"ABHD3",477.960825008511,-0.136043790871673,0.0823537991912033,-1.65194310654468,0.0985461494425679,0.70789429120804
"ABHD4",514.857883498104,0.0455765867682656,0.0831955282813775,0.547824957780423,0.58381209980349,0.934413707955503
"ABHD5",2017.06475572607,0.00503695043823743,0.0893553980611636,0.0563698505913392,0.955047174495264,0.992879478570576
"ABHD6",170.006226815626,0.0304900962739937,0.0802734288540533,0.379828004225761,0.704073093121097,0.950074535295939
"ABI1",3722.82867200808,-0.0356560226332696,0.0506758853477869,-0.703609268758968,0.481676137574345,0.904280440013528
"ABI2",844.901027675725,0.0562910274778075,0.0594537015484099,0.946804421117039,0.343738448516887,0.865858215148924
"ABI3BP",5443.82725104142,0.170229222493444,0.193789929561312,0.878421406513731,0.379715071659815,0.873696252846888
"ABL1",2422.78993071688,0.0777863288767741,0.0726298385060006,1.07099685854799,0.284170842163972,0.853329041539502
"ABLIM1",2864.76779101954,0.0803849827698512,0.0983220778033261,0.817567982347215,0.4136039160774,0.885181870132585
"ABLIM3",1678.53391830279,-0.0217745582704248,0.156993668204498,-0.138697047590872,0.88968955123175,0.981853195041389
"ABR",3001.77781141357,0.0296356978205769,0.0839529666873224,0.353003580337467,0.72408575639473,0.954025987529848
"ABRACL",346.371356419616,0.0178839942404414,0.0876938461101716,0.203936707462612,0.838402959418159,0.972648198640121
"ABT1",251.490117711495,0.0526133411034138,0.0724482347861262,0.726219779663827,0.46770404815135,0.898077269898841
"ABTB1",419.084884745127,0.254279914240308,0.0848728780955551,2.99600908966494,0.00273538279844009,0.334642523279932
"ABTB2",296.173766358323,0.0696132777051371,0.130479775333734,0.533517761868334,0.593675219060793,0.935375993604565
"ACAA1",1612.28995834695,-0.120125094734987,0.0961506832525059,-1.2493420813196,0.211539982660097,0.808628355109415
"ACACA",16367.6722698149,-0.303309469764091,0.0756356435260247,-4.01013934203824,6.06829257119971e-05,0.081773502034751
"ACACB",1947.1908665166,0.130368517153085,0.118751138944536,1.09782961504037,0.272278897053719,0.851019747917994
"ACAD10",1497.3058805809,-0.201448969072878,0.0686626255841854,-2.93389551242672,NA,NA
"ACAD11",88.7541833088251,0.135813772502624,0.0853020603017879,1.59215113939959,0.111350748777578,0.728441207838404
"ACAD8",836.557252639939,-0.0606514771642119,0.063154876812318,-0.960360944800103,0.336873586974328,0.864654977791126
"ACAD9",6736.71920032275,0.0593727456095224,0.0641312895533253,0.925799964776225,0.354549945501842,0.866742883486336
"ACADL",187.356810760966,0.0863714471200357,0.258600831218541,0.333995241674394,0.738383149296956,0.956599076681715
