"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",45378.2961524858,-0.0666329881414736,0.188837274129968,-0.352859298824729,0.724193925380441,0.95390080150232
"A2ML1",3184.00554036391,-0.705553607835731,0.391896435544744,-1.80035729810861,0.0718042388807666,0.592765845126645
"AAAS",2827.15477253068,-0.050425862742696,0.0538720627396764,-0.936029923085862,0.349257781406822,0.825102753518269
"AADAT",776.341133894578,-0.0196882968506983,0.163140493668657,-0.120683077560657,0.903942063167594,0.984600967098686
"AAED1",158.946661366425,0.0966070721114133,0.159190291236548,0.606865351906797,0.543940273616107,0.899318322298923
"AAGAB",2047.69534727265,0.021232666567636,0.0652857193867924,0.325226814792999,0.745009415590087,0.954686752973378
"AAK1",4468.71902088778,-0.0918327292998206,0.0805181994113059,-1.14052139728954,0.254069143446081,0.775019311085445
"AAMDC",179.099631138438,0.198788617358174,0.100960335096644,1.96897739263528,0.0489556872228318,0.531976241538565
"AAMP",2612.90016495584,0.0832894375739386,0.0781779344800271,1.06538293865026,0.286702674318357,0.793779369693806
"AAR2",1149.17751325021,-0.102008370184414,0.0628216970976243,-1.62377609802381,0.104423603060759,0.637735572750855
"AARS",13441.5081929686,0.107766879745884,0.0868096777487337,1.24141550274855,0.214452295077075,0.753173143532682
"AARS2",1245.07647814313,-0.00331799231717075,0.0845836190827546,-0.0392273628529007,0.968709118019556,0.994775836915666
"AARSD1",76.8546642048279,0.0106709600670284,0.128551003780815,0.0830095429299243,0.933843951643558,0.989152424863883
"AASDH",1273.65797334262,-0.0736535247056606,0.0746578857196616,-0.986547154338492,0.323864687795006,0.814551014655874
"AASDHPPT",504.963841426839,-0.021375666349463,0.0828906182101027,-0.25787799404852,0.796501068801497,0.966123788929709
"AASS",2805.76194697079,-0.00446025369440731,0.140334900759613,-0.0317829254894155,0.974645163243148,0.995302263986493
"AATF",3680.64098050567,0.0398585118013433,0.0598748070882329,0.665697540246049,0.505604446062618,0.884215169361568
"AATK",34.5084754186021,-0.0139913148029511,0.234202729061276,-0.059740186884374,0.952362564370051,0.99074162120179
"ABAT",2069.13958025155,-0.641378127099787,0.204439856250586,-3.13724602855149,0.0017054295386539,0.210394383857381
"ABCA1",17353.3207185745,-0.00459434191594781,0.11985321293594,-0.038333072626125,0.969422122013769,0.994995604836162
"ABCA10",642.900260597677,-0.0437646990635747,0.203646491375225,-0.214905244711223,0.829841195740207,0.972277762240496
"ABCA11P",497.175635495877,-0.0842532349830791,0.106726808392217,-0.789428975271626,0.429861326296863,0.862062449474253
"ABCA12",2266.12882205038,0.348739238710893,0.338659209963546,1.02976451976142,0.303120559888543,0.803219131452166
"ABCA13",2567.45290600828,1.77065135231575,0.337950842416619,5.23937546553864,NA,NA
"ABCA2",2055.52230381574,-0.0647686014633272,0.141042422314735,-0.459213620982745,0.646080770133586,0.933656320552735
"ABCA3",1366.0657214861,-0.22670165081854,0.245848246717082,-0.922120266651419,0.356465846744297,0.825102753518269
"ABCA4",485.061973049363,0.640667048029541,0.332756662194367,1.9253319942707,NA,NA
"ABCA5",2473.28732483664,0.112080839852789,0.130969791749559,0.855776269898255,0.392121543481653,0.841420885340239
"ABCA6",2645.6992040318,-0.104984491902549,0.266538519398392,-0.393881125097831,0.693668806251237,0.943111277301674
"ABCA7",1106.79982083827,0.340997286243217,0.132129801257194,2.58077498791857,0.00985788109638698,0.353407902030153
"ABCA8",1015.27556953335,-0.452868712677648,0.265875894621639,-1.70330865580016,0.0885103215965038,0.61173097349164
"ABCA9",1365.38391202355,-0.239204681472166,0.261654894823059,-0.914199146298888,0.360612212661985,0.826269177877619
"ABCB1",988.264270386899,-0.0959148615066318,0.197384736033527,-0.485928463538033,0.627017886702485,0.931618706966887
"ABCB10",1062.27443608778,-0.0109126936714883,0.0716252483243438,-0.152358196680476,0.878904426307706,0.980576542765459
"ABCB11",118.163343544199,-1.48873604885653,0.447935105489997,-3.32355296695934,NA,NA
"ABCB4",438.527344122059,-0.786260258797761,0.240458276788503,-3.2698406946055,0.0010760806724836,0.201716209082467
"ABCB5",27.2394936069286,-0.642855153043247,0.381149323923045,-1.68662283439611,0.0916758983781252,0.616822570691744
"ABCB6",752.367479179831,0.0469096283383791,0.143503400660571,0.326888618126442,0.743752130022747,0.954686752973378
"ABCB7",2360.30385779931,0.0120977329444931,0.0616879080108229,0.196111901579975,0.844522581026236,0.973932101960676
"ABCB8",318.138597242143,0.089212152765442,0.104641409537627,0.852551137830029,0.393908268980731,0.843223430793685
"ABCB9",143.032695226679,0.0524693613446143,0.131618094954072,0.398648539647404,0.690152190562113,0.943111277301674
"ABCC1",6419.19292931547,-0.0173640220165154,0.106486265710861,-0.163063488991748,0.870468446544578,0.979068390009731
"ABCC10",1232.41068139342,-0.0579447318841426,0.0843522255450793,-0.686937795768957,0.492121928103185,0.879105312556374
"ABCC11",43.9535450280042,-0.969287227053547,0.278647977550267,-3.47853673862999,NA,NA
"ABCC2",933.413987177368,1.06379694117177,0.315292120174476,3.37400421102526,NA,NA
"ABCC3",4822.76237338675,-0.00214303456499171,0.215935882570464,-0.00992440227849763,0.992081602632459,0.998738638671885
"ABCC4",2558.23716980237,-0.303006897707638,0.169077344543429,-1.7921200414276,0.0731137391937973,0.592765845126645
"ABCC5",5189.15319219989,-0.11337988146745,0.170696580395009,-0.664218821519898,0.506550268801236,0.884319232355887
"ABCC6",109.063240188491,-0.741876538186585,0.30739608120485,-2.41342223778122,NA,NA
"ABCC8",44.9444428708399,-1.24670537336531,0.379644787869065,-3.28387327628817,NA,NA
"ABCC9",2537.46123558688,-0.246300662360125,0.202106288559052,-1.21866896926445,0.222969860185994,0.760328287239043
"ABCD1",585.652807008667,0.305875955666806,0.123876908224657,2.46919268530729,0.0135418278720063,0.372300524977674
"ABCD2",108.990973734103,-0.0228794194438318,0.235822689702949,-0.0970195848103148,0.92271084138928,0.989152424863883
"ABCD3",15349.8398645151,-0.0239610675364394,0.154229507550207,-0.155359813546959,0.876537663581512,0.979809333482785
"ABCD4",1138.21711988293,-0.0734231938988776,0.0756164941822552,-0.970994419840581,0.33155105734728,0.81723022061082
"ABCE1",2206.84318060667,0.179112089603172,0.0799597782794863,2.24002734196079,0.025089147871629,0.434148980499105
"ABCF1",4983.8709764876,0.00134643533224441,0.0740610472030423,0.0181800741833029,0.985495198508606,0.997794143731598
